Variable,DescrCA,DescrES,DescrEN,Valor_Value,LabelCA,LabelES,LabelEN,,,,,,,,
T2_MESURES4,Mesures per trobar feina. Ha consultat familiars, amics, un sindicat...,Medidas para encontrar trabajo. Ha consultado a familiares, amigos, un sindicato...,Steps taken to find a job. Asked relatives, friends, a union, etc.,,,,,
T2_MESURES4,,,,1,Sí,Sí,Yes,,,,,,,,
T2_MESURES4,,,,6,No,No,No,,,,,,,,
T2_MESURES5,Mesures per trobar feina. Ha posat (consultat o contestat) anuncis a la premsa, ràdio, TV o Internet,Medidas para encontrar trabajo. Ha publicado (consultado o contestado) anuncios en la prensa, radio, TV o Internet ,Steps taken to find a job. Placed (checked or answered) advertisements in the press, radio, TV or internet,,,,,,
T2_MESURES5,,,,1,Sí,Sí,Yes,,,,,,,,
T2_MESURES5,,,,6,No,No,No,,,,,,,,
T2_MESURES6,Mesures per trobar feina. Ha fet proves, exàmens o entrevistes per ser contractat,Medidas para encontrar trabajo. Ha realizado pruebas, exámenes o entrevistas para ser contratado,Steps taken to find a job. Took  hiring tests, exams or interviews,,,,,,,,,
T2_MESURES6,,,,1,Sí,Sí,Yes,,,,,,,,
T2_MESURES6,,,,6,No,No,No,,,,,,,,
T2_MESURES7,Mesures per trobar feina. Ha fet gestions per establir-se pel seu compte (cerca de terrenys, gestió de llicències…),Medidas para encontrar trabajo. Ha hecho gestiones para establecerse por su cuenta (búsqueda de terrenos, gestión de licencias...),Steps taken to find a job. Made arrangements to become self-employed (finding land, applying for licences, etc.),,,,,,,,
T2_MESURES7,,,,1,Sí,Sí,Yes,,,,,,,,
T2_MESURES7,,,,6,No,No,No,,,,,,,,
T2_MESURES8,Mesures per trobar feina. Altres,Medidas para encontrar trabajo. Otros,Steps taken to find a job. Others,,,,,,,,,,,,
T2_MESURES8,,,,1,Sí,Sí,Yes,,,,,,,,
T2_MESURES8,,,,6,No,No,No,,,,,,,,
T3_SITUACIO_ACTIV,21. En quina de les situacions següents considera que es trobava la setmana passada?,21. ¿En cuál de las siguientes situaciones considera que se encontraba la semana pasada?,21. In which of the following situations do you consider you were in last week?,,,,,,,,,,,,
T3_SITUACIO_ACTIV,,,,1,Ocupat/ada,Ocupado,Employed,,,,,,,,
T3_SITUACIO_ACTIV,,,,2,Desocupat/ada,Desocupado,Unemployed,,,,,,,,
T3_SITUACIO_ACTIV,,,,3,Estudiant,Estudiante,Student,,,,,,,,
T3_SITUACIO_ACTIV,,,,4,Jubilat/ada, prejubilat/ada,Jubilado, prejubilado,Retired, pre-retired,,,,,
T3_SITUACIO_ACTIV,,,,5,Cobrant una pensió d'incapacitat permanent o invalidesa,Cobrando una pensión de incapacidad permanente o invalidez,Receiving a permanent disability or invalidity pension,,,,,,,,
T3_SITUACIO_ACTIV,,,,6,Cobrant una pensió de viduïtat o orfandat,Cobrando una pensión de viudedad u orfandad,Receiving a widow/widower’s or orphan's pension,,,,,,,,
T3_SITUACIO_ACTIV,,,,7,Realitzant tasques de voluntariat social,Realizando tareas de voluntariado social,Social volunteer work,,,,,,,,
T3_SITUACIO_ACTIV,,,,8,Realitzant tasques de la llar,Realizando tareas del hogar,Household tasks,,,,,,,,
T3_SITUACIO_ACTIV,,,,9,Una altra situació,Otra situación,Another situation,,,,,,,,
T4_AJ_ALTRES1,Activitats d’ajut a altres llars. Activitats culinàries,Actividades de ayuda a otros hogares. Actividades culinarias,Activities to help other households. Culinary activities,,,,,,,,,,,,
T4_AJ_ALTRES1,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES1,,,,6,No,No,No,,,,,,,,
T4_AJ_ALTRES2,Activitats d’ajut a altres llars. Manteniment de la llar,Actividades de ayuda a otros hogares. Mantenimiento del hogar,Activities to help other households. Home maintenance,,,,,,,,,,,,
T4_AJ_ALTRES2,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES2,,,,6,No,No,No,,,,,,,,
T4_AJ_ALTRES3,Activitats d’ajut a altres llars. Confecció i preparació de la roba,Actividades de ayuda a otros hogares. Confección y preparación de la ropa,Activities to help other households. Making and preparing clothes,,,,,,,,,,,,
T4_AJ_ALTRES3,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES3,,,,6,No,No,No,,,,,,,,
T4_AJ_ALTRES4,Activitats d’ajut a altres llars. Jardineria i cura d’animals,Actividades de ayuda a otros hogares. Jardinería y atención de animales,Activities to help other households. Gardening and animal care,,,,,,,,,,,,
T4_AJ_ALTRES4,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES4,,,,6,No,No,No,,,,,,,,
T4_AJ_ALTRES5,Activitats d’ajut a altres llars. Construcció i reparacions,Actividades de ayuda a otros hogares. Construcción y reparaciones,Activities to help other households. Construction and repairs,,,,,,,,,,,,
T4_AJ_ALTRES5,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES5,,,,6,No,No,No,,,,,,,,
T4_AJ_ALTRES6,Activitats d’ajut a altres llars. Compres i serveis,Actividades de ayuda a otros hogares. Compras y servicios,Activities to help other households. Shopping and services,,,,,,,,,,,,
T4_AJ_ALTRES6,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES6,,,,6,No,No,No,,,,,,,,
T4_AJ_ALTRES7,Activitats d’ajut a altres llars. Gestions de la llar,Actividades de ayuda a otros hogares. Gestiones del hogar,Activities to help other households. Home management,,,,,,,,,,,,
T4_AJ_ALTRES7,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES7,,,,6,No,No,No,,,,,,,,
T4_AJ_ALTRES8,Activitats d’ajut a altres llars. Cura d’infants,Actividades de ayuda a otros hogares. Atención de niños,Activities to help other households. Child care,,,,,,,,,,,,
T4_AJ_ALTRES8,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES8,,,,6,No,No,No,,,,,,,,
T4_AJ_ALTRES9,Activitats d’ajut a altres llars. Cura d’adults,Actividades de ayuda a otros hogares. Atención de adultos,Activities to help other households. Adult care,,,,,,,,,,,,
T4_AJ_ALTRES9,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES9,,,,6,No,No,No,,,,,,,,
T4_AJ_ALTRES10,Activitats d’ajut a altres llars. Altres,Actividades de ayuda a otros hogares. Otros,Activities to help other households. Others,,,,,,,,,,,,
T4_AJ_ALTRES10,,,,1,Sí,Sí,Yes,,,,,,,,
T4_AJ_ALTRES10,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT1,Activitats de voluntariat. Associacions juvenils,Actividades de voluntariado. Asociaciones juveniles,Volunteer activities. Youth associations,,,,,,,,,,,,
T5_VOLUNTARIAT1,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT1,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT2,Activitats de voluntariat. Associacions esportives,Actividades de voluntariado. Asociaciones deportivas,Volunteer activities. Sport associations,,,,,,,,,,,,
T5_VOLUNTARIAT2,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT2,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT3,Activitats de voluntariat. Confessions religioses,Actividades de voluntariado. Confesiones religiosas,Volunteer activities. Religious organisations,,,,,,,,,,,,
T5_VOLUNTARIAT3,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT3,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT4,Activitats de voluntariat. Organitzacions polítiques, empresarials, professionals i sindicats,Actividades de voluntariado. Organizaciones políticas, empresariales, profesionales y sindicatos,Volunteer activities. Political, business, professional and trade union organisations,,,,,,
T5_VOLUNTARIAT4,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT4,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT5,Activitats de voluntariat. Organitzacions de cooperació per al desenvolupament,Actividades de voluntariado. Organizaciones de cooperación para el desarrollo,Volunteer activities. Development cooperation organisations,,,,,,,,,,,,
T5_VOLUNTARIAT5,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT5,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT6,Activitats de voluntariat. Organitzacions d’assistència social, ajut a la gent gran o primers auxilis,Actividades de voluntariado. Organizaciones de asistencia social, ayuda a personas mayores o primeros auxilios,Volunteer activities. Social welfare organisations, help for the elderly or first aid,,,,,,,,,
T5_VOLUNTARIAT6,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT6,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT7,Activitats de voluntariat. Organitzacions mediambientals,Actividades de voluntariado. Organizaciones medioambientales,Volunteer activities. Environmental organisations,,,,,,,,,,,,
T5_VOLUNTARIAT7,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT7,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT8,Activitats de voluntariat. Organitzacions pro drets humans o justícia, drets civils,Actividades de voluntariado. Organizaciones pro derechos humanos o justicia, derechos civiles,Volunteer activities. Human rights or justice organisations, civil rights,,,,,,,,,
T5_VOLUNTARIAT8,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT8,,,,6,No,No,No,,,,,,,,
T5_VOLUNTARIAT9,Activitats de voluntariat. Associacions de ciutadans/veïns,Actividades de voluntariado. Asociaciones de ciudadanos/vecinos,Volunteer activities. Citizen/neighbourhood associations,,,,,,,,,,,,
T5_VOLUNTARIAT9,,,,1,Sí,Sí,Yes,,,,,,,,
T5_VOLUNTARIAT9,,,,6,No,No,No,,,,,,,,
