CODI_LLAR 	CODI_PERSONA 	T1_ID_SEC_TRIM 	T1_DATA_DIA 	T1_DATA_MES 	T1_DATA_ANY 	T2_HH_INICI 	T2_MM_INICI 	T6_HH_FI 	T6_MM_FI 	T7_QUAN 	T7_QUAN_TARD 	T7_TIPUS_DIA 	T7_INUSUAL_1 	T7_INUSUAL_2 	T7_INUSUAL_3 	T7_INUSUAL_4 	T7_VIATGE 	T7_VIATGE_KM 	T7_T_REMUNERAT 	curaper 	treball 	estudi 	llarfam 	volreun 	vidsoc 	esport 	aficc 	mitjcom 	trajecte 	curaper2 	treball2 	estudi2 	llarfam2 	volreun2 	vidsoc2 	esport2 	aficc2 	mitjcom2 	trajecte2 	dormir 	menjar 	altrecur 	trebprin 	altretreb 	estudis_ne 	estudis 	estudis_tll 	llarfam_ne 	culin 	mantllar 	confecc 	jardi 	repar 	compra 	gestio 	curanen 	curadul 	organit 	altllar 	particip 	sociabil 	cultura 	lleurepa 	exfis 	exprod 	altresp 	art   	informat 	jocs  	lectura 	Tele  	radio 	desplaç_fi 	desplaç_treb 	desplaç_est 	desplaç_llarfam 	desplaç_vol 	desplaç_vidsoc 	desplaç_tll 	desplaç_muni 	codis_aux 	total_hores_dia 	dormir2 	menjar2 	altrecur2 	trebprin2 	altretreb2 	estudis_ne2 	estudis2 	estudis_tll2 	llarfam_ne2 	culin2 	mantllar2 	confecc2 	jardi2 	repar2 	compra2 	gestio2 	curanen2 	curadul2 	organit2 	altllar2 	particip2 	sociabil2 	cultura2 	lleurepa2 	exfis2 	exprod2 	altresp2 	art2 	informat2 	jocs2 	lectura2 	tele2 	radio2 	desplaç_fi2 	desplaç_treb2 	desplaç_est2 	desplaç_llarfam2 	desplaç_vol2 	desplaç_vidsoc2 	desplaç_tll2 	desplaç_muni2 	codis_aux2 	aprin_6 	aprin_7 	aprin_8 	aprin_9 	aprin_10 	aprin_11 	aprin_12 	aprin_13 	aprin_14 	aprin_15 	aprin_16 	aprin_17 	aprin_18 	aprin_19 	aprin_20 	aprin_21 	aprin_22 	aprin_23 	aprin_24 	aprin_1 	aprin_2 	aprin_3 	aprin_4 	aprin_5 	DIM_MUN 	SectorsActivitats
795	1	3	17	9	10	23	30	7	0	4	3	1		             			1		6	57000	0	0	0	0	7200	9600	0	12600	0	1					1	1		1		42600	8400	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200	9600	0	0	0	0	0	0	12600	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            															1	1	        						1											0	0	0	0	0	6	6	5	0	5	0	0	6	8	8	0	8	0	0	0	0	0	0	0	3	99
795	2	3	17	9	10	0	30	6	50	4	3	1		             			1		1	23400	59400	0	0	0	0	0	0	3600	0	1	1							1		22200	0	1200	59400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600	0	0	0	0	0	0	0	0	0	0	86400	1		1	1		            			            																	        						1											0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	0	0	0	0	0	3	4
797	1	3	18	9	10	5	0	11	30	4	2	2		           1 			1		6	34200	0	0	40200	0	1800	0	0	7800	2400	1			1		1			1	1	23400	4800	6000	0	0	0	0	0	0	7800	14400	0	0	0	18000	0	0	0	0	0	0	1200	0	600	0	0	0	0	0	0	0	7800	0	0	0	0	2400	0	0	0	0	0	86400	1	1	1			            			            	1	1				1							1		1		        						1					1						0	0	0	0	0	3	3	3	3	3	3	0	8	3	8	3	3	3	3	3	3	0	0	0	3	99
799	1	3	19	9	10	2	30	9	15	2		1		             			1		6	39600	0	0	600	0	5400	0	0	38400	2400	1			1		1			1	1	32400	5400	1800	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	5400	0	0	0	0	0	0	0	0	1200	37200	0	0	0	0	0	0	2400	0	0	0	86400	1	1	1			            			            						1							1				        					1	1							1				0	0	0	0	0	0	9	5	9	8	8	8	8	8	8	0	8	8	8	8	0	0	0	0	3	99
799	2	3	19	9	10	2	30	7	0	2		1		             			1		1	44400	0	0	13800	0	0	0	0	28200	0	1			1					1		35400	6600	2400	0	0	0	0	0	6000	4800	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28200	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			          1 	1		1														        						1											0	0	0	0	0	0	3	3	3	8	0	8	8	8	3	0	8	8	8	8	0	0	0	0	3	4
799	3	3	19	9	10	6	0	7	45	2		1		             			1		1	53400	0	0	0	0	6600	0	0	23400	3000	1					1			1	1	49800	3000	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6600	0	0	0	0	0	0	0	0	0	23400	0	1800	0	0	0	0	1200	0	0	0	86400	1	1	1			            			            													1				        						1		1					1				9	0	0	0	0	0	0	0	0	8	8	8	8	8	9	5	9	8	0	0	0	0	0	0	3	4
799	4	3	19	9	10	2	30	7	30	2		2		             		1	1		6	47400	0	3000	0	0	0	0	14400	21600	0	1		1					1	1		40200	5400	1800	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14400	0	21600	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            	1		            																	        				1		1											0	0	0	0	0	0	2	7	7	8	8	8	8	7	7	0	8	8	8	0	0	0	0	0	3	99
802	1	3	30	9	10	6	0	7	0	3		1		             			1		6	46200	0	0	0	0	21600	3600	0	15000	0	1					1	1		1		31200	5400	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21600	3600	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			            															1	1	        						1											0	5	5	0	5	5	5	5	0	8	8	0	8	8	8	0	0	0	0	0	0	0	0	0	3	99
802	2	3	30	9	10	4	0	6	0	3		1		             			1		1	27000	55800	0	0	0	3600	0	0	0	0	1	1				1					26400	0	600	55800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86400	1		1	1		            			            													1				        																	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	0	0	0	0	0	0	0	3	4
803	1	3	30	9	10	1	30	10	0	2		1		             			1		6	38400	0	0	34200	0	5400	0	0	8400	0	1			1		1			1		32400	3600	2400	0	0	0	0	0	5400	7200	19800	0	0	0	1800	0	0	0	0	0	0	1800	0	3600	0	0	0	0	0	0	0	0	8400	0	0	0	0	0	0	0	0	0	86400	1	1	1			            			          1 	1	1				1							1		1		        							1										0	0	0	0	0	3	3	3	8	0	3	3	3	3	5	3	8	0	3	0	0	0	0	0	3	99
