IDQUEST_HT 	CODI_LLAR 	CODI_PERSONA 	TEMPS_TREB_SET 	TEMPS_DIA1 	NOM_DIA1 	TREB_DIA1 	TEMPS_DIA2 	NOM_DIA2 	TREB_DIA2 	TEMPS_DIA3 	NOM_DIA3 	TREB_DIA3 	TEMPS_DIA4 	NOM_DIA4 	TREB_DIA4 	TEMPS_DIA5 	NOM_DIA5 	TREB_DIA5 	TEMPS_DIA6 	NOM_DIA6 	TREB_DIA6 	TEMPS_DIA7 	NOM_DIA7 	TREB_DIA7
   4301001 	     3010 	          01 	          1905 	       540 	       2 	        1 	       540 	       3 	        1 	       300 	       4 	        1 	       255 	       5 	        1 	       270 	       6 	        1 	         0 	       7 	        6 	         0 	       1 	        6
   4301002 	     3010 	          02 	          1695 	       540 	       2 	        1 	       540 	       3 	        1 	       615 	       4 	        1 	         0 	       5 	        6 	         0 	       6 	        6 	         0 	       7 	        6 	         0 	       1 	        6
   4301004 	     3010 	          04 	          1680 	       540 	       2 	        1 	       540 	       3 	        1 	       540 	       4 	        1 	         0 	       5 	        6 	        60 	       6 	        1 	         0 	       7 	        6 	         0 	       1 	        6
   4301601 	     3016 	          01 	          3975 	       690 	       1 	        1 	       660 	       2 	        1 	       690 	       3 	        1 	       675 	       4 	        1 	       660 	       5 	        1 	       420 	       6 	        1 	       180 	       7 	        1
   4301602 	     3016 	          02 	          1800 	       360 	       1 	        1 	       360 	       2 	        1 	       360 	       3 	        1 	       360 	       4 	        1 	       360 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6
   4301701 	     3017 	          01 	          2910 	       600 	       3 	        1 	       570 	       4 	        1 	       570 	       5 	        1 	         0 	       6 	        6 	         0 	       7 	        6 	       600 	       1 	        1 	       570 	       2 	        1
   4301702 	     3017 	          02 	          2940 	       420 	       3 	        1 	       420 	       4 	        1 	       420 	       5 	        1 	       420 	       6 	        1 	       420 	       7 	        1 	       420 	       1 	        1 	       420 	       2 	        1
   4302301 	     3023 	          01 	          2940 	       540 	       1 	        1 	       240 	       2 	        1 	       240 	       3 	        1 	       540 	       4 	        1 	       540 	       5 	        1 	       540 	       6 	        1 	       300 	       7 	        1
   4302702 	     3027 	          02 	          3360 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1 	       480 	       6 	        1 	       480 	       7 	        1 	       480 	       1 	        1
   4302801 	     3028 	          01 	          2400 	         0 	       6 	        6 	         0 	       7 	        6 	       480 	       1 	        1 	       480 	       2 	        1 	       480 	       3 	        1 	       480 	       4 	        1 	       480 	       5 	        1
