Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
REDUCCIO_JORNADA				1	Si	Sí	Yes
REDUCCIO_JORNADA				6	No	No	No
TREBALL_SEC	" La setmana passada, de dilluns a diumenge, a part de la seva feina principal, va fer alguna altra feina remunerada (en metàl·lic o en espècies) per compte d’altri, per compte propi o com a ajuda al negoci familiar durant almenys una hora?

FILTRE:
[Edat membre de la llar > 15 anys]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"¿La semana pasada, de lunes a domingo, aparte de su trabajo principal, realizó algún otro trabajo remunerado (en metálico o en especies) por cuenta ajena, por cuenta propia o como ayuda al negocio familiar durante al menos una hora?

FILTRO:
[Edad miembro del hogar > 15 años]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"	"Last week, from Monday to Sunday, apart from your main job, did you do any other paid work (in cash or in kind) as an employee, on a self-employed basis or as help in the family business for at least one hour?

FILTER:
[Household member age > 15 years]
+
[TREBALL=1] or ( [TREBALL=6] & [TREBALL_ABSENT=1] )"				
TREBALL_SEC				1	Si	Sí	Yes
TREBALL_SEC				6	No	No	No
REL_ACT	"Relació amb l'activitat econòmica

FILTRE:
[Edat membre de la llar > 15 anys]"	"Relación con la actividad económica

FILTRO
[Edad miembro del hogar > 15 años]"	"Relationship with economic activity

FILTER:
[Household member age > 15 years]"				
REL_ACT				1	Població ocupada	Población ocupada	Employed population
REL_ACT				2	Població desocupada	Población desocupada	Unemployed population
REL_ACT				3	Població pensionista de jubilació, prejubilació	Población pensionista de jubilación o prejubilación	Pensioners receiving retirement or early retirement pensions
REL_ACT				4	Població amb una altra situació d'inactivitat	Población con otra situación de inactividad	Population in other inactivity situation
AJ_MENJAR	Durant les darreres quatre setmanes, ha ajudat alguna persona de fora de la llar (amics, veïns, familiars que no viuen a la llar...)  en la preparació de menjars, sense tractar-se de feina remunerada?	Durante las últimas cuatro semanas, ¿ha ayudado a alguna persona ajena al hogar (amigos, vecinos, familiares que no viven en el hogar...) en el mantenimiento del hogar, sin tratarse de un trabajo remunerado?	During the last four weeks, have you helped any non-household member (friends, neighbours, relatives not living in the household...) with meal preparation, not as paid work?				
AJ_MENJAR				1	Si	Sí	Yes
AJ_MENJAR				2	No	No	No
AJ_MANTENIMENT	Durant les darreres quatre setmanes, ha ajudat alguna persona de fora de la llar (amics, veïns, familiars que no viuen a la llar...) en el manteniment de la llar, sense tractar-se de feina remunerada?	Durante las últimas cuatro semanas ha prestado ayuda, sin tratarse de trabajo remunerado, a alguna persona ajena al hogar (amigos, vecinos, familiares que no viven en el hogar...) en el mantenimiento de la casa?	During the last four weeks, have you helped any non-household member (friends, neighbours, relatives not living in the household...) with house maintenance, not as paid work?				
AJ_MANTENIMENT				1	Si	Sí	Yes
AJ_MANTENIMENT				2	No	No	No
AJ_ROBA	Durant les darreres quatre setmanes, ha ajudat alguna persona de fora de la llar (amics, veïns, familiars que no viuen a la llar...) en la confecció i preparació de la roba, sense tractar-se de feina remunerada?	Durante las últimas cuatro semanas, ¿ha ayudado a alguna persona ajena al hogar (amigos, vecinos, familiares que no viven en el hogar...) en la confección y preparación de la ropa, sin tratarse de un trabajo remunerado?	During the last four weeks, have you helped any non-household member (friends, neighbours, relatives not living in the household...) with sewing or preparing clothes, not as paid work?				
AJ_ROBA				1	Si	Sí	Yes
AJ_ROBA				2	No	No	No
AJ_JARDINERIA	Durant les darreres quatre setmanes, ha ajudat alguna persona de fora de la llar (amics, veïns, familiars que no viuen a la llar...) en la jardineria i cura d'animals, sense tractar-se de feina remunerada? 	Durante las últimas cuatro semanas, ¿ha ayudado a alguna persona ajena al hogar (amigos, vecinos, familiares que no viven en el hogar...) en la construcción y reparaciones (incluidos los vehículos), sin tratarse de un trabajo remunerado?	During the last four weeks, have you helped any non-household member (friends, neighbours, relatives not living in the household...) with gardening or animal care, not as paid work?				
AJ_JARDINERIA				1	Si	Sí	Yes
AJ_JARDINERIA				2	No	No	No
