anio,tema,desglose,corte,competencia_id,competencia,indicador,porcentaje,unidad,universo,archivo_origen,hoja_origen
2022,formacion_ofrecida,tamano_empresa,Total,otras,Otras,formacion_ofrecida,19.598053413262384,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,resolucion_problemas,Resolución de problemas,formacion_ofrecida,11.690886740982723,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,tecnicas_puesto,Competencias técnicas del puesto de trabajo,formacion_ofrecida,41.638601690634154,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,tic_generales,Generales de tecnologías de la información,formacion_ofrecida,12.00409187350554,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,tic_profesionales,Profesionales de tecnologías de la información,formacion_ofrecida,5.492456134442461,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,tamano_empresa,Total,trabajo_equipo,Trabajo en equipo,formacion_ofrecida,24.28139628868757,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-20
2022,formacion_ofrecida,total,Total,administrativas_oficina,Administrativas de oficina,formacion_ofrecida,15.630854203238993,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,atencion_clientes,Atención al público / trato a clientes,formacion_ofrecida,23.473644771683443,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,basicas_calculo_comunicacion,Básicas de cálculo y/o comunicación oral o escrita,formacion_ofrecida,1.6013942738788345,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,direccion,Dirección,formacion_ofrecida,13.528077021844465,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,lenguas_extranjeras,Lenguas extranjeras,formacion_ofrecida,8.89438964734806,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,otras,Otras,formacion_ofrecida,19.5981359164446,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,resolucion_problemas,Resolución de problemas,formacion_ofrecida,11.690935956858338,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,tecnicas_puesto,Competencias técnicas del puesto de trabajo,formacion_ofrecida,41.63877697932585,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,tic_generales,Generales de tecnologías de la información,formacion_ofrecida,12.004142407900884,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,tic_profesionales,Profesionales de tecnologías de la información,formacion_ofrecida,5.492479256387265,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,formacion_ofrecida,total,Total,trabajo_equipo,Trabajo en equipo,formacion_ofrecida,24.281498507638617,porcentaje,Empresas formadoras de la categoría,Tablas_EAL_2022.xlsx,EAL-21
2022,importancia_futura,sector,Construcción,administrativas_oficina,Administrativas de oficina,bastante,45.779,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
2022,importancia_futura,sector,Construcción,administrativas_oficina,Administrativas de oficina,mucho,24.143,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
2022,importancia_futura,sector,Construcción,administrativas_oficina,Administrativas de oficina,nada,6.943,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
2022,importancia_futura,sector,Construcción,administrativas_oficina,Administrativas de oficina,poco,23.135,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
2022,importancia_futura,sector,Construcción,atencion_clientes,Atención al público / trato a clientes,bastante,41.936,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
2022,importancia_futura,sector,Construcción,atencion_clientes,Atención al público / trato a clientes,mucho,20.143,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
2022,importancia_futura,sector,Construcción,atencion_clientes,Atención al público / trato a clientes,nada,10.813,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
2022,importancia_futura,sector,Construcción,atencion_clientes,Atención al público / trato a clientes,poco,27.109,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
2022,importancia_futura,sector,Construcción,basicas_calculo_comunicacion,Básicas de cálculo y/o comunicación oral o escrita,bastante,30.085,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
2022,importancia_futura,sector,Construcción,basicas_calculo_comunicacion,Básicas de cálculo y/o comunicación oral o escrita,mucho,6.537,porcentaje,Total de empresas de la categoría,Tablas_EAL_2022.xlsx,EAL-16
